Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;31/05/2022 19:10;31/05/2022 08:07;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;31/05/2022 20:20;31/05/2022 09:23;REALIZADO;;31/05/2022 00:00:00;Antecipado;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;02/06/2022 07:30;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;02/06/2022 08:40;;CANCELADO;;02/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;03/06/2022 08:20;03/06/2022 08:14;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;03/06/2022 09:30;03/06/2022 09:22;REALIZADO;;03/06/2022 00:00:00;Antecipado;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;05/06/2022 07:30;05/06/2022 07:43;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;05/06/2022 08:40;05/06/2022 09:01;REALIZADO;;05/06/2022 00:00:00;Pontual;Pontual
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;06/06/2022 09:30;06/06/2022 10:33;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;06/06/2022 10:40;06/06/2022 11:49;REALIZADO;;06/06/2022 00:00:00;Atraso 60-120;Atraso 60-120
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;07/06/2022 08:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;07/06/2022 09:10;;CANCELADO;;07/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;09/06/2022 07:30;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;09/06/2022 08:40;;CANCELADO;;09/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;10/06/2022 08:20;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;10/06/2022 09:30;;CANCELADO;;10/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;13/06/2022 08:48;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;13/06/2022 09:55;REALIZADO;;13/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;14/06/2022 08:00;14/06/2022 08:05;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;14/06/2022 09:10;14/06/2022 09:17;REALIZADO;;14/06/2022 00:00:00;Pontual;Pontual
