Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;21/10/2022 12:50;21/10/2022 12:45;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;21/10/2022 13:45;21/10/2022 13:35;REALIZADO;;21/10/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/10/2022 12:50;23/10/2022 12:43;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/10/2022 13:45;23/10/2022 13:31;REALIZADO;;23/10/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/10/2022 12:50;24/10/2022 12:42;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/10/2022 13:45;24/10/2022 13:34;REALIZADO;;24/10/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;25/10/2022 13:20;25/10/2022 13:39;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;25/10/2022 14:15;25/10/2022 14:31;REALIZADO;;25/10/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;26/10/2022 12:50;26/10/2022 12:44;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;26/10/2022 13:45;26/10/2022 13:40;REALIZADO;;26/10/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/10/2022 13:20;27/10/2022 13:03;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/10/2022 14:15;27/10/2022 13:55;REALIZADO;;27/10/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;28/10/2022 12:50;28/10/2022 12:49;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;28/10/2022 13:45;28/10/2022 13:39;REALIZADO;;28/10/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;30/10/2022 12:50;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;30/10/2022 13:45;;CANCELADO;;30/10/2022 00:00:00;;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;31/10/2022 12:50;31/10/2022 12:57;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;31/10/2022 13:45;31/10/2022 13:51;REALIZADO;;31/10/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;01/11/2022 13:20;01/11/2022 13:13;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;01/11/2022 14:15;01/11/2022 14:06;REALIZADO;;01/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;03/11/2022 12:50;03/11/2022 13:18;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;03/11/2022 13:45;03/11/2022 14:19;REALIZADO;;03/11/2022 00:00:00;Pontual;Atraso 30-60
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;04/11/2022 12:50;04/11/2022 14:28;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;04/11/2022 13:45;04/11/2022 15:23;REALIZADO;;04/11/2022 00:00:00;Atraso 60-120;Atraso 60-120
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;06/11/2022 12:50;06/11/2022 12:42;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;06/11/2022 13:45;06/11/2022 13:37;REALIZADO;;06/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;07/11/2022 12:50;07/11/2022 12:46;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;07/11/2022 13:45;07/11/2022 13:37;REALIZADO;;07/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;08/11/2022 13:20;08/11/2022 13:26;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;08/11/2022 14:15;08/11/2022 14:18;REALIZADO;;08/11/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;09/11/2022 12:50;09/11/2022 12:48;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;09/11/2022 13:45;09/11/2022 13:42;REALIZADO;;09/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;10/11/2022 13:20;10/11/2022 13:12;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;10/11/2022 14:15;10/11/2022 14:03;REALIZADO;;10/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;11/11/2022 12:50;11/11/2022 12:33;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;11/11/2022 13:45;11/11/2022 13:26;REALIZADO;;11/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;15/11/2022 13:20;15/11/2022 13:11;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;15/11/2022 14:15;15/11/2022 14:04;REALIZADO;;15/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;16/11/2022 12:50;16/11/2022 12:40;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;16/11/2022 13:45;16/11/2022 13:33;REALIZADO;;16/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;17/11/2022 13:20;17/11/2022 13:16;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;17/11/2022 14:15;17/11/2022 14:09;REALIZADO;;17/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;18/11/2022 12:50;18/11/2022 12:43;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;18/11/2022 13:45;18/11/2022 13:38;REALIZADO;;18/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;20/11/2022 12:50;20/11/2022 12:42;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;20/11/2022 13:45;20/11/2022 13:32;REALIZADO;;20/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;21/11/2022 12:50;21/11/2022 12:41;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;21/11/2022 13:45;21/11/2022 13:32;REALIZADO;;21/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;22/11/2022 13:20;22/11/2022 13:26;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;22/11/2022 14:15;22/11/2022 14:19;REALIZADO;;22/11/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/11/2022 12:50;23/11/2022 12:42;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/11/2022 13:45;23/11/2022 13:33;REALIZADO;;23/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/11/2022 13:20;24/11/2022 13:16;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/11/2022 14:15;24/11/2022 14:06;REALIZADO;;24/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;25/11/2022 12:50;25/11/2022 13:00;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;25/11/2022 13:45;25/11/2022 13:52;REALIZADO;;25/11/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/11/2022 12:50;27/11/2022 12:44;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/11/2022 13:45;27/11/2022 13:39;REALIZADO;;27/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;28/11/2022 12:50;28/11/2022 12:44;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;28/11/2022 13:45;28/11/2022 13:34;REALIZADO;;28/11/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;29/11/2022 13:20;29/11/2022 13:24;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;29/11/2022 14:15;29/11/2022 14:10;REALIZADO;;29/11/2022 00:00:00;Pontual;Antecipado
